297310270744292, 292515986537934, 398367816281800 @ -130, 46, -342
232876297732390, 268639840875352, 277457353569056 @ 104, 56, 8
417792738798400, 257428680393360, 380908169439745 @ -82, 16, -101
302813003461079, 305174023577355, 349549524249307 @ -11, -25, -119
295945827803142, 303241371747982, 261859915366428 @ -88, 6, 26
302156214061218, 313203918871211, 276804753523650 @ -124, -13, -16
204422685219118, 325560027927756, 283148432314999 @ 83, -29, -62
219641061136905, 378824883802550, 247324374420960 @ -71, -222, 24
165159393278942, 285204508707684, 277584266269375 @ 113, 270, -173
342305562182267, 426260805385209, 100988516405700 @ 21, -215, 282
276206102023422, 297438763134336, 288054396874971 @ 32, -8, -7
276625784375777, 270562253806329, 271042419311380 @ 127, -11, 54
519510913596995, 295050409824417, 134829399493384 @ -105, -53, 208
182014750498921, 391600297234624, 168414605999202 @ -49, -376, 516
488684307953089, 533010610914771, 529909675045785 @ -127, -335, -261
254272199043811, 302965600479838, 277380582435239 @ 53, -10, 5
213805493134488, 424533426572496, 112868312385097 @ 19, -362, 508
329250429301862, 253501673076954, 316346967353815 @ 16, 33, -23
150217438809092, 349293875717418, 232560572447437 @ 87, -65, 52
242398934926907, 232478268230119, 339165524009120 @ -201, 437, -400
260463050192022, 277527262033844, 227810504449455 @ 16, 57, 108
206190824427302, 321478713739044, 252204303829615 @ -39, 33, -5
279431733354578, 157229696470746, 233461587423466 @ 140, 110, 102
508167672639254, 342867630162852, 389415319042207 @ -64, -105, -52
424709986281867, 16293252908064, 373500500835360 @ -13, 256, -52
253173926229392, 277932501124774, 267550665883265 @ 57, 41, 26
319245333459858, 276125449275920, 318071881095095 @ -85, 47, -81
187799462727476, 319523844921012, 170010008420655 @ 150, -20, 269
466917506647148, 325303951664862, 401517454632619 @ -265, -67, -189
312375400020287, 269983422191837, 270948879562691 @ 27, 15, 41
144504300315977, 333436963825029, 239097963739426 @ 157, 99, -14
243561596999519, 347460548992391, 159806469651948 @ 189, -109, 182
151018441321966, 345991081337168, 252412669674299 @ 28, -10, -225
218234173540314, 327954394908628, 429562539446467 @ 94, -52, -389
157493050634026, 291729509268088, 260723102928915 @ -46, 686, -321
174512812294218, 349721318548632, 237612074407987 @ -134, -74, 7
169794168402974, 315615890724297, 254859043899283 @ -32, 213, -127
304779553291102, 316707095120094, 435737575516905 @ 44, -59, -210
328188047609488, 79087382489789, 330170510029183 @ 34, 269, -35
255517356157848, 30183265313008, 393757280458967 @ 61, 530, -223
273240852210050, 349823942220468, 186731335276867 @ 33, -108, 188
362872081395246, 260867788108557, 398469668611661 @ 64, -17, -73
147816769028270, 9500108961988, 193863075976575 @ 285, 398, 159
288850744113737, 243139537018206, 234048225454118 @ -93, 166, 92
211615138782392, 336752031616434, 277514705210815 @ -93, -31, -139
269904557599172, 454446182706264, 378570216396830 @ -6, -344, -234
264963599419979, 287379038977173, 269763779962075 @ -7, 41, 9
256345773983627, 270390820331859, 368101303882090 @ -29, 109, -270
445061963890718, 320059809306156, 504484288892663 @ -51, -77, -210
385123237312359, 222395539748902, 16386565006874 @ 13, 38, 356
304189358633363, 328071977510373, 333038888232271 @ -5, -69, -83
447214953899680, 264374468107519, 250840935711821 @ -202, 29, 71
437839079887768, 225489961492832, 345249383640405 @ -67, 42, -36
137323984484080, 349288190760710, 242796324042879 @ 178, -34, -163
464774356192721, 281545906939242, 355449135565357 @ -49, -38, -29
425341185857960, 497629378562946, 480886006998157 @ -11, -273, -168
340184236512978, 337171667457163, 386370619965750 @ -52, -87, -166
389808047866094, 218180800487064, 226654299824557 @ -52, 74, 110
260835002795446, 334767189913532, 222421219836239 @ 100, -85, 117
308510646213283, 345832919710530, 282310911199241 @ -85, -98, -13
411307458401842, 247072993217934, 300309196613325 @ -20, 10, 23
268100029844360, 292747573585668, 241971347924197 @ -86, 60, 67
314886450323609, 266853438458405, 237514723192891 @ 93, -13, 97
109594306745654, 80328914264436, 84226687990927 @ 366, 618, 493
382047271493827, 97098225119354, 188649082903675 @ -79, 282, 169
354951807501568, 401025152330364, 409434769283711 @ 25, -176, -123
215779787829990, 372622366671426, 133952635385065 @ 8, -182, 439
334849913515548, 203132030421766, 326000949009619 @ 25, 95, -29
363856256825906, 147640486183836, 197351818870395 @ -117, 262, 164
187648964090600, 102929516861766, 128208565895713 @ 135, 651, 412
240780584947802, 64037309908704, 136504067681635 @ 81, 487, 298
163460567576214, 340233515104636, 275338470458243 @ 184, -64, -73
515511675880745, 369339849128544, 452989348503154 @ -189, -136, -184
172062397948046, 354611173600092, 261643026751783 @ -66, -122, -197
230544811532207, 324970801911618, 457695428188288 @ -43, -14, -702
311528730495717, 242211655930423, 375457304059631 @ 37, 53, -115
555644194597972, 421463116093679, 379038077796213 @ -98, -181, -37
384704102303782, 313527137025972, 252866860711479 @ -218, -32, 56
187924613153882, 373555004154446, 278887431155873 @ 42, -207, -130
149428004687668, 294973169559295, 137522927076896 @ 178, 285, 720
350044225381116, 108706001802414, 303663568431219 @ 29, 199, 11
257342874496953, 269075597480831, 276602622636963 @ 115, 15, 33
275475860945149, 308766538004692, 396766038376495 @ -101, 12, -371
186039646171394, 307820284519448, 242664514938199 @ 69, 83, 43
197121856461268, 261670762513358, 226871413749963 @ 41, 255, 111
324377664469964, 212184734198558, 475335690958975 @ -159, 227, -491
226333076814907, 337228313737396, 221624474163776 @ 127, -84, 120
424917938612516, 204820375367526, 462712702651423 @ 21, 31, -123
354899534737682, 241351197253014, 347885478053095 @ 28, 26, -43
208521285410960, 320499805534173, 316761071616745 @ 74, -15, -161
370152155487384, 214038233777762, 357216954820505 @ 25, 51, -46
352315858976575, 461179902118525, 304870551620729 @ 65, -235, 23
218742631248989, 308547024722664, 263178145066033 @ -41, 64, -33
