--- scanner 0 ---
592,476,409
451,462,-479
840,-352,632
619,398,366
584,458,-482
794,-340,778
462,524,-410
-26,36,-166
-518,712,-554
-524,544,-667
-364,758,518
542,430,440
87,115,17
-380,-427,-609
863,-333,586
-422,566,-511
-756,-510,685
-806,-704,722
-408,800,678
-450,839,466
-514,-291,-633
-485,-380,-513
557,-392,-606
-788,-610,775
481,-347,-441
578,-334,-581

--- scanner 1 ---
-583,-765,-719
632,295,485
636,327,350
-657,380,343
599,-732,-645
-621,253,313
678,357,398
-736,626,-578
-503,-949,296
-740,733,-663
-719,286,402
554,772,-816
590,-602,633
692,727,-916
-601,-833,-688
538,-677,-732
-622,-850,299
-13,-191,-155
580,-630,724
-562,-977,-745
566,-781,-633
538,732,-855
-499,-953,313
-72,-48,-13
686,-608,696
-800,649,-736

--- scanner 2 ---
-516,-454,605
408,-415,759
-693,-252,-394
809,-355,-358
594,799,-361
539,788,-397
-538,-352,761
-430,654,790
362,648,691
420,627,666
-496,532,862
-34,99,76
767,-316,-493
-684,-448,718
-752,-304,-381
615,807,-538
-649,805,-656
375,551,831
-646,815,-771
-489,744,-720
-434,521,793
455,-310,663
-694,-298,-575
824,-304,-343
319,-444,639

--- scanner 3 ---
515,800,717
476,790,601
463,-650,526
-140,-121,-18
-406,578,666
-886,-536,558
-725,355,-610
-512,-509,-627
516,383,-474
-745,-517,634
398,785,695
-563,-580,-470
-884,343,-589
473,-634,436
-627,-519,-630
-417,508,572
376,-469,-446
678,337,-535
473,-689,409
-821,358,-537
-922,-525,613
372,-374,-564
-420,562,489
-19,59,-29
663,476,-423
426,-365,-376

--- scanner 4 ---
-946,524,517
439,453,813
-634,505,-587
-503,-517,-469
-780,-589,508
381,521,728
-797,-767,569
593,-977,-487
483,-865,-448
-420,-477,-415
-490,572,-567
595,425,-582
254,498,748
-820,-706,431
-805,477,427
-887,597,486
314,-917,364
-36,-47,-34
-481,-604,-352
463,425,-692
344,-786,331
686,-924,-419
326,-647,357
-566,700,-552
418,420,-649

--- scanner 5 ---
574,-507,745
-493,482,-596
449,416,545
